category,name
harry_potter_characters,Harry Potter
harry_potter_characters,Hermione Granger
harry_potter_characters,Ron Weasley
harry_potter_characters,Lord Voldemort
harry_potter_characters,Albus Dumbledore
harry_potter_characters,Hagrid
harry_potter_characters,Severus Snape
harry_potter_characters,Minerva McGonagall
harry_potter_characters,Draco Malfoy
harry_potter_characters,Sirius Black
harry_potter_characters,Neville Longbottom
harry_potter_characters,Ginny Weasley
harry_potter_characters,Luna Lovegood
harry_potter_characters,Bellatrix Lestrange
harry_potter_characters,Remus Lupin
harry_potter_characters,Dobby
movie_characters,Darth Vader
movie_characters,Luke Skywalker
movie_characters,Princess Leia
movie_characters,Han Solo
movie_characters,Yoda
movie_characters,Obi-Wan Kenobi
movie_characters,Anakin Skywalker
movie_characters,Indiana Jones
movie_characters,Jack Sparrow
movie_characters,Will Turner
movie_characters,Elizabeth Swann
movie_characters,Frodo Baggins
movie_characters,Gandalf
movie_characters,Aragorn
movie_characters,Legolas
movie_characters,Gollum
movie_characters,Neo
movie_characters,Morpheus
movie_characters,John Wick
movie_characters,Terminator
movie_characters,Rocky Balboa
movie_characters,Rambo
movie_characters,Joker
movie_characters,Batman
movie_characters,Superman
movie_characters,Wonder Woman
movie_characters,Aquaman
movie_characters,Flash
movie_characters,Spider-Man
movie_characters,Iron Man
movie_characters,Captain America
movie_characters,Thor
movie_characters,Loki
movie_characters,Hulk
movie_characters,Black Panther
movie_characters,Doctor Strange
movie_characters,Deadpool
movie_characters,Wolverine
movie_characters,Thanos
movie_characters,Shrek
movie_characters,Fiona
movie_characters,Donkey
movie_characters,Puss in Boots
movie_characters,Elsa
movie_characters,Anna
movie_characters,Olaf
movie_characters,Moana
movie_characters,Maui
movie_characters,Simba
movie_characters,Mufasa
movie_characters,Scar
movie_characters,Timon
movie_characters,Pumbaa
movie_characters,Woody
movie_characters,Buzz Lightyear
movie_characters,Lightning McQueen
movie_characters,Mater
movie_characters,Nemo
movie_characters,Dory
movie_characters,Sulley
movie_characters,Mike Wazowski
movie_characters,Po
movie_characters,Mulan
movie_characters,Aladdin
movie_characters,Genie
movie_characters,Jasmine
movie_characters,Hercules
movie_characters,Tarzan
movie_characters,Peter Parker
movie_characters,Bruce Wayne
movie_characters,Clark Kent
movie_characters,Diana Prince
movie_characters,Pennywise
movie_characters,Dracula
movie_characters,Frankenstein
movie_characters,Wednesday Addams
movie_characters,Gomez Addams
movie_characters,Morticia Addams
movie_characters,Peeta Mellark
movie_characters,Jack Dawson
movie_characters,Rose DeWitt Bukater
movie_characters,Ethan Hunt
movie_characters,James Bond
movie_characters,Sherlock Holmes
movie_characters,Enola Holmes
movie_characters,Willy Wonka
movie_characters,Charlie Bucket
movie_characters,Gru
movie_characters,Minion Kevin
movie_characters,King Kong
movie_characters,Godzilla
movie_characters,Caesar
movie_characters,Avatar Jake Sully
one_piece_characters,Monkey D. Luffy
one_piece_characters,Roronoa Zoro
one_piece_characters,Nami
one_piece_characters,Sanji
one_piece_characters,Usopp
one_piece_characters,Tony Tony Chopper
one_piece_characters,Trafalgar Law
one_piece_characters,Portgas D. Ace
one_piece_characters,Shanks
one_piece_characters,Nico Robin
one_piece_characters,Franky
one_piece_characters,Brook
one_piece_characters,Jinbe
one_piece_characters,Buggy
naruto_characters,Naruto Uzumaki
naruto_characters,Sasuke Uchiha
naruto_characters,Sakura Haruno
naruto_characters,Kakashi Hatake
naruto_characters,Itachi Uchiha
naruto_characters,Gaara
naruto_characters,Jiraiya
naruto_characters,Hinata Hyuga
naruto_characters,Madara Uchiha
naruto_characters,Minato Namikaze
naruto_characters,Pain
dragon_ball_characters,Goku
dragon_ball_characters,Vegeta
dragon_ball_characters,Gohan
dragon_ball_characters,Piccolo
dragon_ball_characters,Frieza
dragon_ball_characters,Cell
dragon_ball_characters,Trunks
dragon_ball_characters,Bulma
dragon_ball_characters,Krillin
dragon_ball_characters,Broly
pokemon_characters,Ash Ketchum
pokemon_characters,Pikachu
pokemon_characters,Misty
pokemon_characters,Brock
pokemon_characters,Gary Oak
pokemon_characters,Professor Oak
pokemon_characters,Jessie
pokemon_characters,James
demon_slayer_characters,Tanjiro Kamado
demon_slayer_characters,Nezuko Kamado
demon_slayer_characters,Zenitsu Agatsuma
demon_slayer_characters,Inosuke Hashibira
demon_slayer_characters,Muzan Kibutsuji
demon_slayer_characters,Kyojuro Rengoku
demon_slayer_characters,Shinobu Kocho
demon_slayer_characters,Giyu Tomioka
attack_on_titan_characters,Eren Yeager
attack_on_titan_characters,Mikasa Ackerman
attack_on_titan_characters,Levi Ackerman
attack_on_titan_characters,Armin Arlert
attack_on_titan_characters,Erwin Smith
my_hero_academia_characters,Deku
my_hero_academia_characters,Bakugo
my_hero_academia_characters,Todoroki
my_hero_academia_characters,All Might
my_hero_academia_characters,Tomura Shigaraki
my_hero_academia_characters,Ochaco Uraraka
my_hero_academia_characters,Endeavor
my_hero_academia_characters,Dabi
my_hero_academia_characters,Hawks
jujutsu_kaisen_characters,Jujutsu Kaisen Gojo
jujutsu_kaisen_characters,Yuji Itadori
jujutsu_kaisen_characters,Megumi Fushiguro
jujutsu_kaisen_characters,Nobara Kugisaki
jujutsu_kaisen_characters,Sukuna
death_note_characters,Light Yagami
death_note_characters,L
death_note_characters,Ryuk
studio_ghibli_characters,Totoro
studio_ghibli_characters,Kiki
studio_ghibli_characters,Howl
studio_ghibli_characters,Spirited Away Chihiro
chainsaw_man_characters,Denji
chainsaw_man_characters,Power
chainsaw_man_characters,Makima
chainsaw_man_characters,Aki Hayakawa
spy_x_family_characters,Anya Forger
spy_x_family_characters,Loid Forger
spy_x_family_characters,Yor Forger
spy_x_family_characters,Bond
jojo_characters,Joseph Joestar
jojo_characters,Jotaro Kujo
jojo_characters,Dio Brando
jojo_characters,Giorno Giovanna
doraemon_characters,Doraemon
doraemon_characters,Nobita
doraemon_characters,Shizuka
hunter_x_hunter_characters,Gon Freecss
hunter_x_hunter_characters,Killua Zoldyck
hunter_x_hunter_characters,Kurapika
hunter_x_hunter_characters,Hisoka
bleach_characters,Ichigo Kurosaki
bleach_characters,Rukia Kuchiki
bleach_characters,Aizen Sosuke
bleach_characters,Byakuya Kuchiki
anime_characters,Saitama
anime_characters,Genos
anime_characters,Edward Elric
anime_characters,Alphonse Elric
anime_characters,Roy Mustang
anime_characters,Conan Edogawa
anime_characters,Shinichi Kudo
anime_characters,Sailor Moon
anime_characters,Astro Boy
anime_characters,Lelouch Lamperouge
anime_characters,C.C.
anime_characters,Zero Two
anime_characters,Rem
anime_characters,Emilia
anime_characters,Subaru Natsuki
anime_characters,Kirito
anime_characters,Asuna
anime_characters,Sinon
anime_characters,Yujiro Hanma
anime_characters,Baki Hanma
anime_characters,Mob
anime_characters,Reigen Arataka
anime_characters,Ken Kaneki
anime_characters,Rize Kamishiro
anime_characters,Spike Spiegel
anime_characters,Vash the Stampede
anime_characters,Lucy Heartfilia
anime_characters,Natsu Dragneel
anime_characters,Happy
anime_characters,Yugi Muto
anime_characters,Seto Kaiba
animals,Dog
animals,Cat
animals,Lion
animals,Tiger
animals,Elephant
animals,Giraffe
animals,Zebra
animals,Panda
animals,Koala
animals,Kangaroo
animals,Bear
animals,Polar Bear
animals,Wolf
animals,Fox
animals,Rabbit
animals,Deer
animals,Moose
animals,Buffalo
animals,Cow
animals,Horse
animals,Donkey
animals,Pig
animals,Goat
animals,Sheep
animals,Camel
animals,Alpaca
animals,Llama
animals,Monkey
animals,Gorilla
animals,Chimpanzee
animals,Orangutan
animals,Sloth
animals,Otter
animals,Beaver
animals,Squirrel
animals,Mouse
animals,Rat
animals,Hamster
animals,Hedgehog
animals,Raccoon
animals,Skunk
animals,Bat
animals,Dolphin
animals,Whale
animals,Shark
animals,Octopus
animals,Squid
animals,Seal
animals,Walrus
animals,Penguin
animals,Eagle
animals,Hawk
animals,Owl
animals,Crow
animals,Parrot
animals,Flamingo
animals,Peacock
animals,Swan
animals,Duck
animals,Goose
animals,Chicken
animals,Turkey
animals,Ostrich
animals,Crocodile
animals,Alligator
animals,Snake
animals,Cobra
animals,Python
animals,Turtle
animals,Tortoise
animals,Frog
animals,Toad
animals,Salamander
animals,Chameleon
animals,Gecko
animals,Iguana
animals,Komodo Dragon
animals,Ant
animals,Bee
animals,Butterfly
animals,Dragonfly
animals,Mosquito
animals,Spider
animals,Scorpion
animals,Crab
animals,Lobster
animals,Jellyfish
animals,Seahorse
animals,Starfish
animals,Clownfish
animals,Tuna
animals,Salmon
animals,Pufferfish
animals,Rhino
animals,Hippopotamus
animals,Hyena
animals,Leopard
animals,Cheetah
animals,Meerkat
animals,Platypus
objects,Chair
objects,Table
objects,Sofa
objects,Bed
objects,Pillow
objects,Blanket
objects,Lamp
objects,Fan
objects,Television
objects,Remote Control
objects,Refrigerator
objects,Microwave
objects,Oven
objects,Toaster
objects,Blender
objects,Washing Machine
objects,Vacuum Cleaner
objects,Air Conditioner
objects,Computer
objects,Laptop
objects,Keyboard
objects,Mouse
objects,Monitor
objects,Printer
objects,Smartphone
objects,Tablet
objects,Headphones
objects,Camera
objects,Speaker
objects,Clock
objects,Watch
objects,Backpack
objects,Wallet
objects,Handbag
objects,Suitcase
objects,Umbrella
objects,Bicycle
objects,Skateboard
objects,Helmet
objects,Guitar
objects,Piano
objects,Drum
objects,Violin
objects,Microphone
objects,Book
objects,Notebook
objects,Pen
objects,Pencil
objects,Eraser
objects,Ruler
objects,Scissors
objects,Stapler
objects,Tape
objects,Glue
objects,Calculator
objects,Bottle
objects,Cup
objects,Mug
objects,Plate
objects,Bowl
objects,Spoon
objects,Fork
objects,Knife
objects,Chopsticks
objects,Frying Pan
objects,Pot
objects,Kettle
objects,Trash Can
objects,Broom
objects,Mop
objects,Toothbrush
objects,Toothpaste
objects,Soap
objects,Shampoo
objects,Towel
objects,Mirror
objects,Comb
objects,Hair Dryer
objects,Sunglasses
objects,Shoes
objects,Slippers
objects,Jacket
objects,Hat
objects,Gloves
objects,Ring
objects,Necklace
objects,Candle
objects,Flashlight
objects,Toolbox
objects,Hammer
objects,Screwdriver
objects,Wrench
objects,Drill
objects,Paintbrush
objects,Basketball
objects,Football
objects,Tennis Racket
objects,Dice
objects,Chessboard
objects,Teddy Bear
